stkcd,year,应收账款净额,其他应收款净额,存货净额,固定资产净额,实收资本或股本,经营活动产生的现金流量净额,购建固定资产无形资产和其他长期资产支付的现金,销售费用率,管理费用率,财务费用率,无形资产比率,有形资产比率,营业外收入占比,所得税率,长期资本负债率,长期负债权益比率,销售期间费用率TTM,市盈率PETTM,管理费用,上市日期,公司成立日期
563,2022,-0.48355715949266576,0.4272647700941357,-0.38064645609974357,-0.21473733280670615,2.5067373338725334,-2.2217286707779342,-0.21533737958704474,-0.5719316898132767,0.03592118405520748,-0.40866069098454055,-0.3742240290062078,0.30225167151380633,-0.15479502994088756,0.6167292142679563,0.8948556262007229,-0.14338759969626633,-0.5934006046664293,-0.3155490182311045,-0.5362920176394621,1994-01-10,1985-01-05
563,2023,-0.3896211381841798,0.15865826036205208,-0.38003457805505797,-0.21740826672097846,2.5067373338725334,1.0316816714754122,0.8934915615327653,-0.5719316898132767,0.041908048064408725,-0.4028856911783325,-0.3695544690435643,0.2997031751266747,-0.19322451177760394,0.6069031242230878,0.8948556262007229,-0.14338759969626633,-0.5472071917357637,-0.36613192889006396,-0.5362019006066516,1994-01-10,1985-01-05
563,2024,-0.3424646644429969,-0.1099482493700314,-0.3794227000103724,-0.2133704945074191,2.5067373338725334,3.6299714574361603,0.5834126242560664,-0.5719316898132767,0.04789491207360997,-0.39711069137212446,-0.3541723891666209,0.29130812820435714,-0.1856847936194494,0.6543820810001302,0.8948556262007229,-0.14338759969626633,-0.5010137788050982,-0.37820536063000426,-0.5361117835738411,1994-01-10,1985-01-05
600601,1990,-0.5529977084172504,-0.37855475910211506,-0.37881082196568694,-0.26178306121578593,-0.5784337415618723,3.1893040094912783,0.4959694450157258,-0.5719316898132767,0.05388177608281122,-0.3913356915659164,-0.40130747678954026,0.3170329505591685,-2.539788682729173,-0.8521646994755474,0.917639815482256,1.0728745375331872,-0.45482036587443264,-0.5420560899922686,-0.5360216665410308,1990-12-19,1985-01-14
600601,1991,-0.5499146373907587,-0.37855475910211506,-0.3823910528160072,-0.2566570903256509,-0.572400912156422,2.7486365615463964,0.408526265775385,0.3068863933373204,0.05986864009201247,-0.38556069175970836,-0.40130747678954026,0.3170329505591685,-4.893892571838896,-0.8521646994755474,0.8948556262007229,-0.14338759969626633,-0.40862695294376705,-0.07115566924432015,-0.5359315495082202,1990-12-19,1985-01-14
600601,1992,-0.5071655110745614,-0.2649390358046683,-0.38166169755503393,-0.25652530780258326,-0.5663680827509716,2.307969113601514,0.3210830865350443,0.2789111125877689,0.04382026628462659,-0.37978569195350026,-0.40130747678954026,0.3170329505591685,-0.04776437098490774,-0.1317583965715233,0.8948556262007229,-0.14338759969626633,-0.3624335400131015,0.3997447515036283,-0.5356088902046698,1990-12-19,1985-01-14
600601,1993,-0.5135722152432641,-0.3011969349963663,-0.3776082759561507,-0.25317269718118135,-0.5603352533455211,1.8673016656566324,0.23363990729470355,0.2505592841163311,0.250740707110452,-3.510729613733906,-0.40130747678954026,0.3170329505591685,-0.316488645543488,-0.3983828386745434,0.8948556262007229,-0.14338759969626633,-0.27392178668819794,0.08089516403221673,-0.5235939656617096,1990-12-19,1985-01-14
600601,1994,-0.5342044843955707,-0.37855475910211506,-0.37278510650426044,-0.26178306121578593,-0.5349973698426296,1.4266342177117506,0.14619672805436282,-0.5719316898132767,0.20737192745274105,-1.5956996276610862,-0.40130747678954026,0.3170329505591685,-0.2806942182671471,-0.5921284731676711,0.8948983901708478,-0.14181507789906778,0.13642769001081637,-0.23795442343919493,-0.5173322970757472,1990-12-19,1985-01-14
600601,1995,-0.27770493355883363,0.19539967430054858,-0.3626704167895349,-0.2375452146036771,-0.5263100954987809,0.9859667697668684,0.05875354881402206,0.7948479411699559,0.1640031477950301,0.319330358411733,-0.30379607756963145,0.26381434953377453,-0.24489979099080614,-0.28593330097432196,0.8948852827211007,-0.14229706660060637,0.5467771667098306,-0.3267113381750551,-0.511070628489785,1990-12-19,1985-01-14
600601,1996,-0.37981872213269186,-0.1210610760249878,-0.34290200401232257,-0.21699410202050345,-0.5158853662861627,0.5452993218219865,-0.02868963042631868,0.7634837309234279,0.15754276931976016,3.164568115282949,-0.33027522935779824,0.2782658231643319,0.06329260004872606,-0.19761095786619953,0.8948724681752585,-0.14276828460490387,1.2692372145457866,-0.31912501566088236,-0.48111696429037515,1990-12-19,1985-01-14
