stkcd,year,管理层持股比例,董事会规模,独立董事占比,监事会规模,高管人数,管理层男性占比,管理层平均年龄,处置固定资产无形资产和其他长期资产收回的现金净额,员工人数,董事长持股比例,总经理持股比例,董事长与总经理兼任情况,财务杠杆,经营杠杆,综合杠杆,市盈率PETTM,市盈率母公司PETTM,审计日期,审计意见类型,审计师,境内审计事务所,审计师是否来自国际四大,境内审计费用金额,审计费用合计,董事人数,其中独立董事人数,监管层持股数量,股权性质,上市日期,公司成立日期
1,2024,5.880713259949872e-06,0.6428571428571428,0.4005056109152665,3.0,0.125,0.7222666666666667,2.8062487937112564,68.31506926052568,13.21490163248221,0.0,0.0,1.0,0.0,0.0,0.0,-1.1199192777382332,-1.0653806907182342,2025-03-14,标准无保留意见,"昌华,王阳燕",安永华明会计师事务所(特殊普通合伙),-1.0,2.0786997852352145,2.101009552794357,0.5,1.0841958752168617,-0.27292280191593754,公众企业,1991-04-03,1987-12-22
2,2024,0.0009538516907638694,0.5,0.4004989573076194,0.0,0.125,0.7460000000000001,1.3054743472112171,735.2726523057963,42.22352448723315,0.0007062146892655376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-03-31,标准无保留意见,"周永明,李瑶",毕马威华振会计师事务所(特殊普通合伙),-1.0,2.0768676718889307,2.1012045562739075,0.3181818181818182,0.9316940995588037,-0.12643791812486388,公众企业,1991-01-29,1984-05-30
4,2024,1.1761426519899745e-05,0.0714285714285714,0.40050973914605337,0.0,0.125,0.6444,-0.691474508131694,0.0,-0.4172457095018836,0.0,0.001075991930060526,1.0,0.0,0.0,0.0,0.0,0.0,2025-03-31,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.09090909090909088,0.7978672281743067,-0.27493869327651443,民营企业,1991-01-14,1986-05-05
6,2024,9.409141215919796e-06,0.3571428571428571,0.400486614999641,1.0,0.20833333333333334,0.8181333333333333,0.8123627433612021,-0.18250698411495675,-0.37806613645876935,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-04-24,标准无保留意见,"吴汪斌,吴健东",立信会计师事务所(特殊普通合伙),0.0,2.0766983810261177,2.09894576752929,0.4090909090909091,1.0841958752168617,-0.27480215268968694,地方国有企业,1992-04-27,1989-05-25
7,2024,0.0,0.0714285714285714,0.40050973914605337,0.0,0.08333333333333334,0.7894666666666653,-1.5459971011388591,0.09539394317302578,-0.469485140226036,0.0,0.0,1.0,-0.2276847577605766,-0.8844707268578244,-0.7477092765866203,0.3127346619939366,0.23439864443431746,2025-04-24,标准无保留意见,"邢战军,李业光",中兴财光华会计师事务所(特殊普通合伙),0.0,2.0767151002283537,2.0989609660675157,0.27272727272727276,0.9316940995588037,-0.27495863740717463,公众企业,1992-04-13,1983-03-11
8,2024,4.704570607959898e-05,0.3571428571428571,0.400486614999641,0.0,0.16666666666666666,0.7575999999999986,0.19980174478975724,5.689811762540485,0.12256174131435747,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-04-17,标准无保留意见,"丁慧春,王宇",信永中和会计师事务所(特殊普通合伙),0.0,2.077545504160639,2.0996891987164923,0.4090909090909091,0.9316940995588037,-0.27234035659246486,中央国有企业,1992-05-07,1989-10-11
9,2024,0.00030697323216938337,0.3571428571428571,0.400486614999641,0.0,0.16666666666666666,0.6666666666666666,0.7204785935754862,12.668895884361703,5.059857681038091,0.0,0.0,1.0,2.0013680856509874,0.5067465246668221,1.0370210209136983,-0.4510432455390039,3.428583394337459,2025-04-15,标准无保留意见,"罗明国,王勉",中审众环会计师事务所(特殊普通合伙),0.0,2.077703310766617,2.0998590724864448,0.5,1.0841958752168617,-0.21665539260757602,公众企业,1991-06-25,1983-07-01
10,2024,0.02813333223560019,0.0714285714285714,0.40050973914605337,0.0,0.24999999999999997,0.7999999999999999,-1.089639157203132,-0.1821357056647081,-0.46747593135203014,0.0,0.002286482851378618,1.0,9.929548002153634,-1.0576354065254916,1.2658579351659713,1.4080997257844867,5.020429717462862,2025-04-15,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.27272727272727276,0.9316940995588037,0.2543279070365409,公众企业,1995-10-27,1988-12-13
11,2024,0.0,0.3571428571428571,0.400486614999641,2.0,0.41666666666666663,0.6,0.4264493142611924,10.916498055952284,2.4833821682712434,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-03-28,标准无保留意见,"赵娟娟,周义兰",致同会计师事务所(特殊普通合伙),0.0,2.0769981559542336,2.099284109024785,0.27272727272727276,0.9316940995588037,-0.27495863740717463,地方国有企业,1992-03-30,1982-11-01
12,2024,0.0010244202498832678,0.2857142857142857,0.40050273065845815,0.0,0.08333333333333334,0.4666666666666667,-0.42501047375311624,15.223336914072423,4.577312683131018,0.0005885122410546148,0.0004034969737726973,1.0,5.539467064441248,5.504175652581888,8.357263059613981,1.1541761472567373,0.8356787045724133,2025-04-24,标准无保留意见,"杨华,邓金超",致同会计师事务所(特殊普通合伙),0.0,2.0779641993270257,2.1002298081872084,0.18181818181818182,0.7978672281743067,-0.2331597897360876,公众企业,1992-02-28,1984-09-10
14,2024,0.0,0.3571428571428571,0.400486614999641,0.0,0.08333333333333334,0.4285333333333333,0.5550871239611963,-0.18238984278573392,-0.49225617413143574,0.0,0.0,1.0,-0.6830630996407676,-1.0028179909712076,-0.9324967556181976,4.588792910807123,4.2833791296443,2025-03-27,标准无保留意见,"邓冬梅,蒋寒松",安永华明会计师事务所(特殊普通合伙),-1.0,2.0758635612084433,2.098490087827836,0.2272727272727273,0.7978672281743067,-0.27495863740717463,地方国有企业,1992-06-02,1987-07-27
16,2024,0.0,0.2142857142857143,0.40051608763661367,0.0,0.24999999999999997,0.9258666666666667,0.8736188432183474,11.663778666652362,3.954792800334868,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-04-11,标准无保留意见,"邓登峰,刘丽红",信永中和会计师事务所(特殊普通合伙),0.0,2.077703310766617,2.1001402390433395,0.2272727272727273,0.7978672281743067,-0.27495863740717463,中央国有企业,1992-03-27,1979-12-01
17,2024,0.0,0.3571428571428571,0.400486614999641,0.0,0.041666666666666664,1.0,-0.20755131926025305,0.0,-0.49125156969443284,0.0,0.0,1.0,0.09236784733929361,-1.1334901603109169,-0.8647741664563314,8.193361318228341,6.863084989237365,2025-04-18,标准无保留意见,"黄国香,付志涛",华兴会计师事务所(特殊普通合伙),0.0,2.0756670586599313,2.0982251163025483,0.2272727272727273,0.7978672281743067,-0.27495863740717463,民营企业,1992-03-31,1984-08-24
19,2024,0.0,0.2857142857142857,0.40050273065845815,1.0,0.29166666666666663,0.6862666666666667,1.2901603222469298,3.2746075176786227,-0.12925910422771034,0.0,0.001075991930060526,1.0,0.6456305109579248,-0.24663181136352944,-0.03628525542945368,-0.4322251375547688,-0.44476059172273974,2025-04-18,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.2272727272727273,0.7978672281743067,-0.27495863740717463,地方国有企业,1992-10-12,1974-01-01
20,2024,0.011754369663987805,0.2142857142857143,0.40051608763661367,0.0,0.08333333333333334,0.2726666666666667,0.9226237231040642,-0.18081419263537388,-0.3542904981163667,0.011770244821092294,0.013449899125756577,0.0,-0.5790444583704787,-0.693062226803804,-0.6923718497108537,2.2933277501766374,2.0291465402134463,2025-04-18,标准无保留意见,"陈鹏,王金云",大信会计师事务所(特殊普通合伙),0.0,2.0757886052395653,2.0978054330725913,0.13636363636363635,0.7978672281743067,-0.23154179912382059,民营企业,1992-04-28,1981-12-08
21,2024,0.0002905072350415237,0.3571428571428571,0.400486614999641,0.0,0.16666666666666666,0.7333333333333333,1.4739286218183636,3.701011148665915,6.2894935119296775,0.0,0.00013449899125756576,1.0,-0.8204895098722839,0.24961633897548297,-0.10741550646977785,-0.281914951563884,-0.14786019036531312,2025-04-23,标准无保留意见,"龚荣华,韩士民",大信会计师事务所(特殊普通合伙),0.0,2.0771627515547517,2.099468262840694,0.2272727272727273,0.7978672281743067,-0.26904316222844304,中央国有企业,1994-02-02,1985-07-04
25,2024,0.0,0.2857142857142857,0.40050273065845815,2.0,0.125,0.7500000000000001,0.22736698972547328,-0.18243455106457188,-0.46479698618668897,0.0,0.001075991930060526,1.0,0.30316778025896385,-0.37846914028294565,-0.23453362430393787,0.6170129733161438,0.5401065861706708,2025-03-26,标准无保留意见,"吴亮,肖娜",致同会计师事务所(特殊普通合伙),0.0,2.076533363842953,2.0990335613432896,0.18181818181818182,0.7978672281743067,-0.27495863740717463,地方国有企业,1993-06-21,1986-11-10
26,2024,0.002396978724755568,0.3571428571428571,0.400486614999641,0.0,0.20833333333333334,0.8730666666666668,-0.2688074191173962,0.7798912964599934,0.7038928421933863,0.0,0.0008069939475453946,1.0,0.5107813975656891,-0.22879866197658136,-0.05979401246825439,-0.5928446916854342,-0.587522907225539,2025-03-12,标准无保留意见,"蔡如笑,郑超敏,葛骅",容诚会计师事务所(特殊普通合伙),0.0,2.0771007725056934,2.0995015987236543,0.4090909090909091,1.0841958752168617,-0.2622743237236784,中央国有企业,1993-06-03,1987-01-01
27,2024,1.293756917188972e-05,0.2857142857142857,0.40050273065845815,3.0,0.24999999999999997,0.7866666666666667,0.8644304282397753,88.91388147603777,3.6765173712850565,0.0,0.0,1.0,5.631411246546687,0.805953774442535,2.6513717983368217,-0.8709309777263062,-0.7145969034702372,2025-04-16,标准无保留意见,"陈子民,林启兴",毕马威华振会计师事务所(特殊普通合伙),-1.0,2.0778355400221167,2.100112483542144,0.3181818181818182,0.7978672281743067,-0.2741915554587055,地方国有企业,1993-09-03,1993-08-21
28,2024,7.0568559119398466e-06,0.2142857142857143,0.4005333698041704,0.0,0.16666666666666666,0.6190666666666668,1.0696383627612098,0.055020755199984034,11.145416492256174,0.0,0.0,1.0,3.630016681818582,3.953883079340087,5.249495082611678,1.2749791391944825,-0.37437610716033715,2025-04-03,标准无保留意见,"邓华明,曾祥胜",天健会计师事务所(特殊普通合伙),0.0,2.077981577364469,2.1002720984051186,0.5454545454545454,1.1714530368054303,-0.27487585392329583,中央国有企业,1993-08-09,1983-01-01
29,2024,0.0,0.3571428571428571,0.400486614999641,2.0,0.20833333333333334,0.7460000000000001,0.47545419414690915,-0.07959729197519591,-0.44035161155295105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-21,标准无保留意见,"王焕森,蔡晓东",天健会计师事务所(特殊普通合伙),0.0,2.0764716855276832,2.0989303284923375,0.3181818181818182,0.9316940995588037,-0.2749555690793808,地方国有企业,1993-09-15,1980-01-08
30,2024,9.761984011516788e-05,0.2857142857142857,0.40050273065845815,0.0,0.24999999999999997,0.7435999999999999,0.7817346934326316,0.07184570078197952,2.1712850565089994,0.0,0.0,1.0,0.06748634120938614,0.03557795675658214,0.015957221066926753,-0.9492819797412649,-0.7883917289117899,2025-04-16,标准无保留意见,"苗策,王桂香",信永中和会计师事务所(特殊普通合伙),0.0,2.0764284103434343,2.0990335613432896,0.4090909090909091,1.0203168072979945,-0.2526885148379116,地方国有企业,1993-09-29,1984-02-18
31,2024,0.0,0.3571428571428571,0.400486614999641,0.0,0.24999999999999997,0.7101333333333334,0.27943467460404664,36.02058924943671,1.5541230640435328,0.0,0.0,0.0,0.0,0.5959528611770859,0.0,0.0,0.0,2025-04-17,标准无保留意见,"马海霞,邓盼盼",信永中和会计师事务所(特殊普通合伙),0.0,2.0780017741900476,2.1004112410845104,0.45454545454545453,1.0203168072979945,-0.2749555690793808,中央国有企业,1993-10-08,1983-02-24
32,2024,0.050225995810579876,0.3571428571428571,0.400486614999641,0.0,0.16666666666666666,0.8333333333333334,1.032884702846924,19.280005743538645,6.180661364587694,0.0,0.001075991930060526,1.0,2.353416242265903,-0.21374470470188484,0.47232838281248246,-0.390109477835025,0.8392287712575959,2025-04-23,标准无保留意见,"申海洋,王宝成",中兴华会计师事务所(特殊普通合伙),0.0,2.077703310766617,2.1001402390433395,0.2272727272727273,0.7978672281743067,0.47057551888031074,中央国有企业,1993-10-28,1993-09-26
34,2024,0.2732532223368308,0.2857142857142857,0.4005366703543004,0.0,0.29166666666666663,0.6444,0.05278710513261144,0.6259370020761374,1.4603599832565928,0.2721280602636538,0.0,1.0,7.94460577067354,-0.9930932062004163,0.9395819047257408,-0.17476696586966853,-0.1748967582255692,2025-03-27,标准无保留意见,"唐炫,郑小川",信永中和会计师事务所(特殊普通合伙),0.0,2.0778768628520856,2.1001655132074033,0.2272727272727273,1.0841958752168617,2.1149674195749864,民营企业,1994-05-09,1981-11-20
35,2024,0.046912801959924116,0.2142857142857143,0.40051608763661367,0.0,0.4583333333333333,0.8730666666666668,1.176836537511213,6.4465054196150735,6.04336542486396,0.0441384180790961,0.0008069939475453946,1.0,9.147250147841516,0.7752322410161242,3.9009044063283875,-1.101585816680398,-1.0280207350432755,2025-03-27,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.18181818181818182,0.9316940995588037,1.2577328917559616,民营企业,1994-04-08,1984-12-31
36,2024,0.0008844592742964609,0.2142857142857143,0.40051608763661367,0.0,0.16666666666666666,0.9216000000000001,-0.005406189731675126,-0.036760061952753185,-0.30238593553788196,0.0,0.0,1.0,0.6765404203112165,0.28994566369029695,0.4066357380103058,3.193037219070476,3.863506770294932,2025-03-27,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.13636363636363635,0.7978672281743067,-0.2503704085312768,民营企业,1994-06-17,1985-10-01
37,2024,0.0,0.3571428571428571,0.400486614999641,2.0,0.20833333333333334,0.8787999999999999,-0.3024982740388255,15.165531134690102,-0.42059439095856005,0.0,0.0,1.0,0.7750161081052453,-0.4351799401542528,-0.1542972144106395,1.5146939153638603,6.238355373995096,2025-04-21,标准无保留意见,"曹玮,李民聪",立信中联会计师事务所(特殊普通合伙),0.0,2.0763117286702886,2.0988149465956925,0.3181818181818182,0.9316940995588037,-0.27495863740717463,公众企业,1994-07-01,1990-04-10
39,2024,0.000370484935376842,0.3571428571428571,0.400486614999641,0.0,0.24999999999999997,0.7999999999999999,1.5443731366540787,84.60644998603497,16.45475094181666,0.0002354048964218459,0.0002689979825151315,0.0,1.7844161804813883,-0.044541090080803335,0.4645516945612766,-0.9358850400768224,-0.758228027854503,2025-03-27,标准无保留意见,"马于翀,陈丽嘉",毕马威华振会计师事务所(特殊普通合伙),-1.0,2.0787084396376705,2.1010296236031043,0.3181818181818182,0.7978672281743067,-0.2488707172971027,公众企业,1994-04-08,1992-09-30
42,2024,0.0016513042833939241,0.3571428571428571,0.400486614999641,0.0,0.08333333333333334,0.7646666666666654,1.0910779977112106,-0.05027725605434338,0.24679782335705316,0.0002354048964218459,0.0002689979825151315,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-24,标准无保留意见,"彭金勇,王鸿美",德勤华永会计师事务所(特殊普通合伙),-1.0,2.0776648245816736,2.1001716646061657,0.4090909090909091,1.0203168072979945,-0.25804064503368745,外资企业,1994-09-21,1984-09-17
45,2024,0.0,0.2857142857142857,0.40050273065845815,0.0,0.20833333333333334,0.7460000000000001,-0.07891350956024912,-0.18283036168878455,-0.05324403516115529,0.0,0.001075991930060526,1.0,0.6575990538143103,2.3931900242761484,2.09936988632937,0.10549631439251025,0.8176223197292318,2025-03-26,标准无保留意见,"黄天义,陈俊亨",德勤华永会计师事务所(特殊普通合伙),-1.0,2.0767151002283537,2.0991638385394857,0.4090909090909091,0.7978672281743067,-0.27348584006611387,地方国有企业,1994-08-15,1982-04-30
48,2024,0.0035484223810537535,0.2142857142857143,0.40051608763661367,0.0,0.24999999999999997,0.7575999999999986,-0.4005080338102568,0.4230761392074677,0.5552113855169527,0.0,0.0,1.0,1.2297589521346541,0.25426265156177313,0.5558741738273876,-0.823055559706327,-0.7829597686909621,2025-03-28,标准无保留意见,"李宗昊,魏寿祥",中兴华会计师事务所(特殊普通合伙),0.0,2.0773786378345283,2.0998068695120553,0.4090909090909091,1.0203168072979945,-0.25041201505616173,民营企业,1994-11-01,1979-01-01
49,2024,0.00042223521206440084,0.3571428571428571,0.400486614999641,0.0,0.08333333333333334,0.8431999999999987,0.009907835232610124,0.1483151951765346,4.930598576810381,0.0002354048964218459,0.00013449899125756576,1.0,1.2904666496023713,3.0856577331796515,3.0144155533765025,-0.16577866359796417,-0.4919464608067107,2025-03-28,标准无保留意见,"李宁,阮喆",立信会计师事务所(特殊普通合伙),0.0,2.0768676718889307,2.0992226078618,0.3181818181818182,0.7978672281743067,-0.2728379626524368,公众企业,1995-03-20,1985-09-04
50,2024,1.8818282431839592e-05,0.5714285714285714,0.400486614999641,2.0,0.29166666666666663,0.5714666666666667,-0.8231751228245545,13.370078747325412,7.042946839681875,0.0,0.0,1.0,0.0,35.181083825233245,0.0,0.0,0.0,2025-03-13,标准无保留意见,"蔡如笑,黄雅萍,黄思婕",容诚会计师事务所(特殊普通合伙),0.0,2.0777526562392152,2.1000932381110533,0.45454545454545453,0.9316940995588037,-0.2743741209624411,中央国有企业,1995-03-15,1983-11-08
