stkcd,year,实收资本或股本,管理层持股比例,董事会规模,独立董事占比,监事会规模,高管人数,管理层男性占比,管理层平均年龄,机构投资者持股比例,经营活动产生的现金流量净额,购建固定资产无形资产和其他长期资产支付的现金,员工人数,无形资产比率,有形资产比率,营业外收入占比,权益乘数2,总资产净利润率ROAB,净资产收益率ROEB,审计意见类型,审计师,境内审计事务所,审计师是否来自国际四大,审计师是否来自国内十大,境内审计费用金额,审计费用合计,总资产周转率B,董事人数,其中独立董事人数,监管层持股数量,月均超额换手率,上市日期,公司成立日期
1,1990,0.0009004,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.00229109784255,3.5913541502299635,0.03724,0.0,1.0,0.5212305325140304,0.5629119511246242,1.1878180267807847,0.5545997839743239,标准无保留意见,"昌华,王阳燕",普华永道中天会计师事务所(特殊普通合伙),1.0,1.0,0.008,0.016,0.7530775903419178,2.4849066497880004,-1.2579336245387982,0.723756,0.33401189758907435,1991-04-03,1987-12-22
1,1991,0.0009022,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.00229109784255,3.5913541502299635,0.03724,0.0,1.0,0.5212305325140304,0.5629119511246242,1.1878180267807847,0.5545997839743239,标准无保留意见,"昌华,王阳燕",普华永道中天会计师事务所(特殊普通合伙),1.0,1.0,0.008,0.016,0.7530775903419178,2.4849066497880004,-1.2579336245387982,0.723756,0.33401189758907435,1991-04-03,1987-12-22
1,1992,0.001348169,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.00229109784255,3.5913541502299635,0.03724,0.0,1.0,0.5212305325140304,0.5629119511246242,1.1878180267807847,0.5545997839743239,标准无保留意见,"昌华,王阳燕",普华永道中天会计师事务所(特殊普通合伙),1.0,1.0,0.008,0.016,0.7530775903419178,2.4849066497880004,-1.2579336245387982,0.723756,0.33401189758907435,1991-04-03,1987-12-22
1,1993,0.00269417899,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.00229109784255,3.5913541502299635,0.03724,0.0,1.0,0.5212305325140304,0.5629119511246242,1.1878180267807847,0.5545997839743239,标准无保留意见,"昌华,王阳燕",普华永道中天会计师事务所(特殊普通合伙),1.0,1.0,0.008,0.016,0.7530775903419178,2.4849066497880004,-1.2579336245387982,0.723756,0.33401189758907435,1991-04-03,1987-12-22
1,1994,0.00431068638,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.00229109784255,3.5913541502299635,0.03724,0.0,1.0,0.5212305325140304,0.5629119511246242,1.1878180267807847,0.5545997839743239,标准无保留意见,"昌华,王阳燕",普华永道中天会计师事务所(特殊普通合伙),1.0,1.0,0.008,0.016,0.7530775903419178,2.4849066497880004,-1.2579336245387982,0.723756,0.33401189758907435,1991-04-03,1987-12-22
1,1995,0.00775923546,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.00229109784255,3.5913541502299635,0.03724,0.0,1.0,0.6709144170357146,0.5629119511246242,1.1878180267807847,0.5545997839743239,标准无保留意见,"昌华,王阳燕",普华永道中天会计师事务所(特殊普通合伙),1.0,1.0,0.008,0.016,0.7530775903419178,2.4849066497880004,-1.2579336245387982,0.723756,0.33401189758907435,1991-04-03,1987-12-22
1,1996,0.01034564728,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.00229109784255,3.5913541502299635,0.03724,0.0,1.0,0.5895134484697249,0.5629119511246242,1.1878180267807847,0.5545997839743239,标准无保留意见,"昌华,王阳燕",普华永道中天会计师事务所(特殊普通合伙),1.0,1.0,0.008,0.016,0.7530775903419178,2.4849066497880004,-1.2579336245387982,0.723756,0.33401189758907435,1991-04-03,1987-12-22
1,1997,0.01551847092,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.00229109784255,3.5913541502299635,0.03724,0.0,1.0,0.5427816189452296,0.5629119511246242,1.1878180267807847,0.5545997839743239,标准无保留意见,"昌华,王阳燕",普华永道中天会计师事务所(特殊普通合伙),1.0,1.0,0.008,0.016,0.7530775903419178,2.4849066497880004,-1.2579336245387982,0.723756,0.33401189758907435,1991-04-03,1987-12-22
1,1998,0.01551847092,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.00229109784255,3.5913541502299635,0.03724,0.0,1.0,0.632408494185645,0.5629119511246242,1.1878180267807847,0.5545997839743239,标准无保留意见,"昌华,王阳燕",普华永道中天会计师事务所(特殊普通合伙),1.0,1.0,0.008,0.016,0.7530775903419178,2.4849066497880004,-1.2579336245387982,0.723756,0.33401189758907435,1991-04-03,1987-12-22
1,1999,0.01551847092,1.0,-1.057078165520936,0.0,0.0,1.9459101490553132,0.06868829184607086,0.11845170393228274,0.0,0.004671594474,3.592168780980072,0.03724,0.0,1.0,0.5387475711876276,0.5629119511246242,1.1878180267807847,0.5545997839743239,标准无保留意见,"昌华,王阳燕",普华永道中天会计师事务所(特殊普通合伙),1.0,1.0,0.008,0.016,0.7530775903419178,2.4849066497880004,-1.2579336245387982,0.723756,0.33401189758907435,1991-04-03,1987-12-22
